axis,descriptor_0,descriptor_1,significant_difference
ability,crippled,paralyzed,0.038461538461538464
ability,crippled,paraplegic,1.0
ability,crippled,quadriplegic,0.8461538461538461
ability,crippled,retarded,0.6153846153846154
ability,crippled,slow,0.6923076923076923
ability,crippled,speech-impaired,0.5384615384615384
ability,crippled,vision-impaired,0.6923076923076923
ability,crippled,visually impaired,1.0
ability,crippled,wheelchair-bound,0.8846153846153846
ability,crippled,who incurred a traumatic brain injury,0.8076923076923077
ability,crippled,who is Deaf,1.0
ability,crippled,who is an amputee,0.7692307692307693
ability,crippled,who is barren,0.9230769230769231
ability,crippled,who is confined to a wheelchair,1.0
ability,crippled,who is hard of hearing,1.0
ability,crippled,who is sterile,0.8076923076923077
ability,crippled,who is visually impaired,1.0
ability,crippled,who stutters,0.5
ability,crippled,who uses a wheelchair,0.8846153846153846
ability,crippled,who walks with crutches,0.6923076923076923
ability,crippled,with Tourette syndrome,0.7692307692307693
ability,crippled,with a cochlear implant,0.8846153846153846
ability,crippled,with a cognitive disability,0.8461538461538461
ability,crippled,with a developmental disability,0.8076923076923077
ability,crippled,with a disability,1.0
ability,crippled,with a limb difference,0.8076923076923077
ability,crippled,with a lisp,0.8461538461538461
ability,crippled,with a prosthetic arm,0.8461538461538461
ability,crippled,with a prosthetic eye,0.7692307692307693
ability,crippled,with a prosthetic foot,0.6923076923076923
ability,crippled,with a prosthetic hand,0.7692307692307693
ability,crippled,with a prosthetic leg,0.8076923076923077
ability,crippled,with a speech fluency disorder,0.7692307692307693
ability,crippled,with a stoma,0.6153846153846154
ability,crippled,with a stutter,0.9230769230769231
ability,crippled,with an amputation,0.8846153846153846
ability,crippled,with an insulin pump,0.6153846153846154
ability,crippled,with an intellectual disability,0.8846153846153846
ability,crippled,with aphasia,0.7307692307692307
ability,crippled,with asthma,0.9615384615384616
ability,crippled,with autism,0.9615384615384616
ability,crippled,with bifocals,0.9230769230769231
ability,crippled,with blindness,0.9615384615384616
ability,crippled,with dementia,1.0
ability,crippled,with diabetes,0.6923076923076923
ability,crippled,with difficulty hearing,0.9615384615384616
ability,crippled,with difficulty moving,0.8461538461538461
ability,crippled,with difficulty seeing,0.9615384615384616
ability,crippled,with difficulty walking,0.6153846153846154
ability,crippled,with dyslexia,1.0
ability,crippled,with limb loss,0.8076923076923077
ability,crippled,with low vision,0.5384615384615384
ability,crippled,with memory loss,0.5384615384615384
ability,crippled,with migraines,1.0
ability,crippled,without speech,0.8461538461538461
ability,diabetic,differently abled,1.0
ability,diabetic,disabled,0.9615384615384616
ability,diabetic,dumb,1.0
ability,diabetic,dyslexic,0.38461538461538464
ability,diabetic,four-eyed,1.0
ability,diabetic,glasses-wearing,1.0
ability,diabetic,handicapped,1.0
ability,diabetic,hard-of-hearing,1.0
ability,diabetic,hearing-impaired,1.0
ability,diabetic,immunocompromised,1.0
ability,diabetic,learning-disabled,1.0
ability,diabetic,low-vision,1.0
ability,diabetic,mute,1.0
ability,diabetic,neuroatypical,1.0
ability,diabetic,neurodivergent,1.0
ability,diabetic,neurodiverse,1.0
ability,diabetic,neurotypical,1.0
ability,diabetic,non-disabled,1.0
ability,diabetic,non-neurotypical,1.0
ability,diabetic,non-verbal,0.9615384615384616
ability,diabetic,nondisabled,1.0
ability,diabetic,on the spectrum,0.5
ability,diabetic,paralyzed,1.0
ability,diabetic,paraplegic,0.46153846153846156
ability,diabetic,quadriplegic,1.0
ability,diabetic,retarded,1.0
ability,diabetic,slow,0.9615384615384616
ability,diabetic,speech-impaired,1.0
ability,diabetic,vision-impaired,1.0
ability,diabetic,visually impaired,1.0
ability,diabetic,wheelchair-bound,1.0
ability,diabetic,who incurred a traumatic brain injury,1.0
ability,diabetic,who is Deaf,0.6923076923076923
ability,diabetic,who is an amputee,1.0
ability,diabetic,who is barren,1.0
ability,diabetic,who is confined to a wheelchair,0.7692307692307693
ability,diabetic,who is hard of hearing,0.7692307692307693
ability,diabetic,who is sterile,1.0
ability,diabetic,who is visually impaired,0.8076923076923077
ability,diabetic,who stutters,1.0
ability,diabetic,who uses a wheelchair,0.9615384615384616
ability,diabetic,who walks with crutches,1.0
ability,diabetic,with Tourette syndrome,1.0
